player,nationality,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position_fw,position_mf,position_df,team_coeff
Max Aarons,eng ENG,Bournemouth,24,2000,3.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,8.0,0.0,0.0,51.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0,1,0.0
Joshua Acheampong,eng ENG,Chelsea,18,2006,4.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2.0,0.0,0.0,1.06,0.0,0.0,0.0,8.9,0.0,0.11,-0.2,-0.2,104.0,124.0,83.9,2025.0,705.0,29.0,32.0,90.6,63.0,68.0,92.6,11.0,20.0,55.0,0.0,0.0,0.0,6.0,0.0,0.0,121.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,137.0,7.0,48.0,81.0,8.0,3.0,137.0,2.0,1.0,50.0,0.0,0.0,106.0,709.0,409.0,2.0,0.0,2.0,0.0,111.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,14.3,0,0,1,185.0
Tyler Adams,us USA,Bournemouth,25,1999,28.0,21.0,"1,965",21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,1.0,2.6,14.0,76.0,10.0,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,Matches,9.0,2.0,22.2,0.41,0.09,0.0,0.0,16.9,0.0,0.18,-1.6,-1.6,902.0,1069.0,84.4,14322.0,3525.0,437.0,489.0,89.4,393.0,443.0,88.7,38.0,65.0,58.5,0.8,2.0,18.0,67.0,4.0,1.0,1025.0,38.0,34.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,14.0,41.0,1.88,35.0,0.0,0.0,1.0,1.0,4.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,83.0,50.0,26.0,49.0,8.0,39.0,72.0,54.2,33.0,33.0,10.0,23.0,32.0,115.0,42.0,0.0,1337.0,62.0,349.0,779.0,224.0,18.0,1337.0,18.0,4.0,22.2,10.0,55.6,663.0,3337.0,1447.0,22.0,1.0,28.0,12.0,757.0,0.0,45.0,21.0,0.0,0.0,1.0,0.0,114.0,31.0,18.0,63.3,0,1,0,0.0
Tosin Adarabioyo,eng ENG,Chelsea,26,1997,22.0,15.0,"1,409",15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.2,1.2,5.0,42.0,1.0,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Matches,13.0,2.0,15.4,0.83,0.13,0.08,0.5,12.5,0.0,0.07,0.1,0.1,1079.0,1184.0,91.1,19805.0,7144.0,406.0,425.0,95.5,603.0,636.0,94.8,66.0,109.0,60.6,0.2,0.8,1.0,62.0,1.0,0.0,1142.0,39.0,23.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,0.96,8.0,0.0,0.0,6.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,17.0,13.0,11.0,6.0,0.0,8.0,12.0,66.7,4.0,9.0,7.0,2.0,11.0,28.0,80.0,0.0,1330.0,175.0,630.0,674.0,27.0,14.0,1330.0,6.0,4.0,66.7,1.0,16.7,777.0,3207.0,1809.0,2.0,0.0,4.0,0.0,1000.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,41.0,42.0,28.0,60.0,0,0,1,185.0
Simon Adingra,ci CIV,Brighton,22,2002,29.0,12.0,"1,097",12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,4.9,50.0,18.0,136.0,0.16,0.16,0.33,0.16,0.33,0.2,0.2,0.4,0.2,0.4,Matches,33.0,8.0,24.2,2.71,0.66,0.06,0.25,17.0,0.0,0.07,-0.5,-0.5,290.0,382.0,75.9,4148.0,820.0,187.0,217.0,86.2,81.0,109.0,74.3,16.0,29.0,55.2,2.8,-0.5,16.0,5.0,17.0,6.0,372.0,9.0,0.0,2.0,0.0,41.0,8.0,1.0,0.0,0.0,0.0,1.0,12.0,47.0,3.86,33.0,0.0,6.0,8.0,0.0,0.0,7.0,0.57,5.0,0.0,1.0,1.0,0.0,0.0,23.0,14.0,10.0,8.0,5.0,10.0,26.0,38.5,16.0,12.0,0.0,12.0,8.0,31.0,6.0,2.0,548.0,10.0,66.0,174.0,315.0,76.0,548.0,50.0,21.0,42.0,27.0,54.0,366.0,2514.0,1300.0,21.0,27.0,39.0,12.0,388.0,0.0,13.0,4.0,4.0,0.0,0.0,0.0,47.0,7.0,4.0,63.6,1,1,0,40.27
Emmanuel Agbadou,ci CIV,Wolves,27,1997,16.0,16.0,"1,410",15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.1,6.0,31.0,2.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches,7.0,2.0,28.6,0.45,0.13,0.14,0.5,27.6,1.0,0.12,0.2,0.2,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.3,-0.2,4.0,40.0,1.0,0.0,955.0,43.0,28.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,17.0,1.09,15.0,2.0,0.0,0.0,0.0,0.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,0.0,30.0,19.0,21.0,9.0,0.0,13.0,20.0,65.0,7.0,19.0,13.0,6.0,12.0,42.0,90.0,0.0,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,13.0,10.0,76.9,2.0,15.4,758.0,3670.0,1752.0,4.0,0.0,6.0,4.0,796.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,83.0,26.0,20.0,56.5,0,0,1,40.27
Asher Agbinone,eng ENG,Crystal Palace,18,2005,2.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches,1.0,0.0,0.0,15.0,0.0,0.0,0.0,26.3,0.0,0.02,0.0,0.0,2.0,3.0,66.7,32.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,8.0,2.0,0.0,0.0,1.0,50.0,5.0,53.0,23.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,40.27
Ola Aina,ng NGA,Nott'ham Forest,27,1996,35.0,35.0,"2,995",33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,1.4,2.1,67.0,107.0,67.0,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,Matches,11.0,2.0,18.2,0.33,0.06,0.18,1.0,26.1,0.0,0.06,1.4,1.4,994.0,1352.0,73.5,15371.0,6297.0,530.0,598.0,88.6,374.0,502.0,74.5,57.0,166.0,34.3,2.2,-0.4,16.0,85.0,23.0,11.0,1071.0,279.0,15.0,0.0,4.0,59.0,264.0,0.0,0.0,0.0,0.0,2.0,46.0,62.0,1.86,49.0,5.0,3.0,1.0,3.0,1.0,4.0,0.12,3.0,0.0,0.0,0.0,0.0,1.0,55.0,42.0,39.0,15.0,1.0,36.0,64.0,56.3,28.0,34.0,12.0,22.0,33.0,88.0,115.0,4.0,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,72.0,33.0,45.8,27.0,37.5,749.0,4798.0,2787.0,46.0,10.0,44.0,22.0,823.0,0.0,23.0,35.0,2.0,0.0,1.0,0.0,190.0,13.0,19.0,40.6,0,0,1,40.27
Rayan Aït-Nouri,dz ALG,Wolves,23,2001,37.0,37.0,"3,109",34.5,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,2.7,2.7,5.5,8.2,89.0,108.0,176.0,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,Matches,36.0,10.0,27.8,1.04,0.29,0.11,0.4,14.9,0.0,0.08,1.3,1.3,1449.0,1721.0,84.2,19837.0,5926.0,897.0,959.0,93.5,435.0,499.0,87.2,48.0,118.0,40.7,4.0,1.5,46.0,77.0,30.0,10.0,1397.0,320.0,44.0,3.0,4.0,94.0,246.0,30.0,24.0,1.0,0.0,4.0,42.0,91.0,2.63,56.0,15.0,8.0,7.0,4.0,1.0,12.0,0.35,10.0,1.0,0.0,0.0,0.0,1.0,89.0,57.0,52.0,28.0,9.0,43.0,70.0,61.4,27.0,42.0,6.0,36.0,26.0,115.0,75.0,2.0,2148.0,96.0,577.0,916.0,685.0,96.0,2148.0,137.0,63.0,46.0,56.0,40.9,1129.0,6166.0,3205.0,62.0,28.0,52.0,47.0,1321.0,1.0,30.0,46.0,6.0,0.0,0.0,0.0,145.0,22.0,30.0,42.3,0,0,1,40.27
Kristoffer Ajer,no NOR,Brentford,26,1998,24.0,17.0,"1,438",16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.2,2.2,27.0,56.0,44.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,Matches,9.0,3.0,33.3,0.56,0.19,0.0,0.0,9.5,0.0,0.11,-1.0,-1.0,504.0,644.0,78.3,7868.0,2831.0,260.0,299.0,87.0,199.0,248.0,80.2,27.0,54.0,50.0,0.5,-1.2,8.0,44.0,7.0,4.0,570.0,73.0,2.0,0.0,3.0,14.0,71.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,1.13,15.0,0.0,1.0,2.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,14.0,11.0,1.0,14.0,27.0,51.9,13.0,17.0,4.0,13.0,12.0,38.0,50.0,0.0,795.0,53.0,265.0,368.0,168.0,38.0,795.0,16.0,7.0,43.8,8.0,50.0,387.0,2098.0,1180.0,11.0,2.0,15.0,12.0,491.0,0.0,13.0,6.0,2.0,0.0,0.0,0.0,42.0,27.0,23.0,54.0,0,0,1,0.0
Manuel Akanji,ch SUI,Manchester City,29,1995,26.0,23.0,"2,014",22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,0.4,1.9,46.0,158.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,15.0,2.0,13.3,0.67,0.09,0.0,0.0,14.7,0.0,0.1,-1.6,-1.6,1632.0,1744.0,93.6,27046.0,7578.0,776.0,812.0,95.6,757.0,795.0,95.2,84.0,113.0,74.3,1.3,-0.4,9.0,177.0,11.0,2.0,1707.0,36.0,18.0,4.0,10.0,11.0,10.0,0.0,0.0,0.0,0.0,1.0,6.0,37.0,1.65,37.0,0.0,0.0,0.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,12.0,4.0,3.0,11.0,17.0,64.7,6.0,11.0,8.0,3.0,9.0,28.0,64.0,3.0,1881.0,119.0,559.0,920.0,405.0,19.0,1881.0,2.0,2.0,100.0,0.0,0.0,1254.0,6953.0,4234.0,64.0,0.0,5.0,5.0,1483.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,103.0,30.0,33.0,47.6,0,0,1,240.75
Nathan Aké,nl NED,Manchester City,29,1995,10.0,8.0,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,3.0,0.0,0.0,0.4,0.0,0.0,0.0,10.0,0.0,0.07,-0.2,-0.2,509.0,542.0,93.9,8321.0,2950.0,248.0,253.0,98.0,237.0,244.0,97.1,20.0,34.0,58.8,0.2,0.0,1.0,42.0,1.0,0.0,514.0,26.0,13.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,1.06,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,7.0,2.0,0.0,4.0,6.0,66.7,2.0,7.0,2.0,5.0,3.0,12.0,22.0,1.0,596.0,51.0,205.0,331.0,61.0,5.0,596.0,1.0,1.0,100.0,0.0,0.0,403.0,2244.0,1501.0,12.0,1.0,4.0,3.0,449.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,10.0,56.5,0,0,1,240.75
Carlos Alcaraz,ar ARG,Southampton,21,2002,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches,1.0,1.0,100.0,9.0,9.0,0.0,0.0,9.7,0.0,0.07,-0.1,-0.1,13.0,13.0,100.0,221.0,66.0,7.0,7.0,100.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,-0.1,1.0,4.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,1.0,8.0,9.0,2.0,17.0,2.0,0.0,0.0,2.0,100.0,12.0,112.0,98.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,0,1,0,40.27
Carlos Alcaraz,ar ARG,Everton,21,2002,15.0,7.0,764.0,8.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.7,1.7,1.6,3.4,19.0,42.0,21.0,0.24,0.35,0.59,0.24,0.59,0.2,0.19,0.4,0.2,0.4,Matches,26.0,11.0,42.3,3.06,1.3,0.08,0.18,20.3,1.0,0.07,0.3,0.3,224.0,278.0,80.6,3963.0,1007.0,96.0,112.0,85.7,95.0,107.0,88.8,24.0,37.0,64.9,0.7,1.4,13.0,20.0,18.0,3.0,265.0,12.0,2.0,1.0,2.0,11.0,6.0,3.0,2.0,1.0,0.0,1.0,10.0,33.0,3.89,24.0,2.0,3.0,3.0,1.0,0.0,6.0,0.71,5.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,5.0,3.0,3.0,3.0,11.0,27.3,8.0,9.0,2.0,7.0,5.0,16.0,10.0,0.0,378.0,15.0,63.0,168.0,156.0,19.0,378.0,18.0,9.0,50.0,7.0,38.9,211.0,1331.0,707.0,21.0,2.0,14.0,13.0,247.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,37.0,14.0,8.0,63.6,1,1,0,40.27
Trent Alexander-Arnold,eng ENG,Liverpool,25,1998,33.0,28.0,"2,365",26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,7.3,9.2,51.0,232.0,94.0,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,Matches,45.0,8.0,17.8,1.71,0.3,0.07,0.38,23.6,3.0,0.04,1.1,1.1,1448.0,1971.0,73.5,27901.0,11363.0,632.0,704.0,89.8,589.0,771.0,76.4,203.0,418.0,48.6,7.4,-1.3,52.0,207.0,65.0,20.0,1651.0,310.0,63.0,12.0,32.0,153.0,192.0,55.0,34.0,12.0,1.0,10.0,36.0,98.0,3.73,74.0,15.0,5.0,4.0,0.0,0.0,10.0,0.38,9.0,1.0,0.0,0.0,0.0,0.0,72.0,50.0,44.0,19.0,9.0,49.0,105.0,46.7,56.0,26.0,9.0,17.0,31.0,103.0,55.0,4.0,2253.0,88.0,593.0,1014.0,660.0,44.0,2253.0,37.0,17.0,45.9,17.0,45.9,1184.0,5358.0,2860.0,36.0,9.0,19.0,15.0,1436.0,0.0,11.0,9.0,1.0,0.0,0.0,0.0,132.0,3.0,13.0,18.8,0,0,1,214.5
Alisson,br BRA,Liverpool,31,1992,28.0,28.0,"2,508",27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,959.0,82.8,17555.0,11360.0,229.0,232.0,98.7,426.0,433.0,98.4,137.0,289.0,47.4,0.2,-0.6,1.0,12.0,0.0,0.0,836.0,121.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,1010.0,741.0,990.0,20.0,0.0,0.0,1010.0,1.0,1.0,100.0,0.0,0.0,658.0,2611.0,1586.0,0.0,0.0,1.0,0.0,618.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,7.0,0.0,100.0,0,0,0,214.5
Miguel Almirón,py PAR,Newcastle Utd,30,1994,9.0,1.0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,3.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,Matches,6.0,2.0,33.3,3.44,1.15,0.0,0.0,14.2,0.0,0.09,-0.5,-0.5,54.0,66.0,81.8,707.0,219.0,39.0,42.0,92.9,13.0,16.0,81.3,1.0,3.0,33.3,0.2,-0.3,3.0,3.0,1.0,0.0,64.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,4.59,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,81.0,1.0,10.0,35.0,36.0,9.0,81.0,2.0,1.0,50.0,1.0,50.0,54.0,284.0,93.0,3.0,2.0,0.0,2.0,59.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1,0,0,40.27
Olabade Aluko,0,Leicester City,0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,39.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,45.0
Edson Álvarez,mx MEX,West Ham,26,1997,28.0,20.0,"1,772",19.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.4,0.4,0.8,1.2,24.0,85.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,Matches,12.0,1.0,8.3,0.61,0.05,0.0,0.0,26.3,0.0,0.03,-0.4,-0.4,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,0.9,0.2,12.0,92.0,12.0,3.0,980.0,16.0,12.0,3.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,28.0,1.42,24.0,0.0,2.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,22.0,2.0,27.0,15.0,830.0,1.0,42.0,18.0,4.0,0.0,0.0,0.0,88.0,30.0,23.0,56.6,0,1,0,70.5
Will Alves,eng ENG,Leicester City,19,2005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,45.0
Harry Amass,eng ENG,Manchester Utd,17,2007,5.0,4.0,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,9.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,3.0,0.0,0.0,0.78,0.0,0.0,0.0,21.7,0.0,0.02,-0.1,-0.1,149.0,181.0,82.3,1920.0,387.0,97.0,105.0,92.4,44.0,56.0,78.6,3.0,11.0,27.3,0.1,0.0,1.0,5.0,0.0,0.0,150.0,31.0,2.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.08,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,1.0,0.0,2.0,8.0,25.0,6.0,11.0,1.0,10.0,2.0,8.0,11.0,0.0,250.0,13.0,82.0,88.0,84.0,5.0,250.0,8.0,3.0,37.5,4.0,50.0,132.0,705.0,376.0,6.0,2.0,18.0,5.0,124.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,26.0,7.0,6.0,53.8,0,0,1,189.5
